,Date,Open,"	High",Low,Close,Adj Close,Volume
0,17-Dec-18,15.76,15.96,14.75,14.88,14.88,"10,098,560"
1,01-Dec-18,15.59,16.02,14.75,14.88,14.88,"66,234,800"
2,31-Oct-18,14.61,16.28,14.47,15.49,15.49,"129,127,400"
4,30-Sep-18,13.99,15.39,13.88,14.58,14.45,"160,230,300"
5,31-Aug-18,13.43,14.01,13,14,13.88,"134,714,200"
7,31-Jul-18,13.36,14.11,13.23,13.46,13.21,"141,442,400"
8,30-Jun-18,13.05,13.58,12.55,13.36,13.11,"141,218,100"
9,31-May-18,12.71,13.56,12.47,13.41,13.16,"150,703,100"
10,30-Apr-18,12.25,12.86,11.66,12.75,12.52,"143,543,200"
12,31-Mar-18,11.38,12.45,11.19,12.24,11.89,"140,353,800"
13,01-Mar-18,10.92,11.43,10.49,11.37,11.04,"156,649,300"
14,01-Feb-18,11.59,11.67,9.87,10.87,10.56,"177,806,900"
16,01-Jan-18,10.87,11.95,10.64,11.56,11.1,"237,296,400"
17,01-Dec-17,10.62,11.02,10.43,10.83,10.4,"133,246,400"
19,31-Oct-17,10.59,10.97,10,10.58,10.05,"145,832,900"
21,30-Sep-17,11.06,11.34,10.49,10.63,9.98,"83,059,900"
22,31-Aug-17,11.08,11.45,11,11.02,10.35,"84,544,500"
24,31-Jul-17,11.06,11.66,10.92,11.04,10.25,"117,824,600"
25,30-Jun-17,11.15,11.45,10.6,11.18,10.38,"104,717,400"
26,31-May-17,11.68,12.05,11.11,11.11,10.32,"105,483,700"
27,30-Apr-17,11.31,11.85,10.95,11.68,10.85,"114,172,800"
29,31-Mar-17,11.17,11.62,11.01,11.31,10.4,"125,703,400"
30,01-Mar-17,11.38,11.68,10.93,11.18,10.28,"123,736,700"
31,01-Feb-17,11.4,11.93,11.1,11.52,10.59,"99,948,000"
33,01-Jan-17,11.67,12.06,11.15,11.44,10.4,"124,724,100"
34,01-Dec-16,11.36,12.47,10.98,11.62,10.57,"99,026,200"
35,31-Oct-16,11.77,12.48,11.08,11.45,10.41,"128,085,000"
37,30-Sep-16,12.64,12.75,11.45,11.77,10.6,"124,504,600"
38,31-Aug-16,12.07,13.32,11.85,12.85,11.58,"109,233,600"
39,31-Jul-16,12.33,12.59,11.89,12.07,10.88,"97,027,900"
41,30-Jun-16,12.48,12.72,12,12.35,11.03,"76,225,600"
42,31-May-16,11.04,12.48,10.79,12.48,11.14,"129,814,600"
43,30-Apr-16,11.15,11.49,10.49,11.09,9.9,"84,219,500"
45,31-Mar-16,11.68,11.69,10.79,11.16,9.87,"97,045,100"
46,01-Mar-16,9.83,11.8,9.76,11.8,10.44,"131,636,500"
47,01-Feb-16,9.47,10.14,8.88,9.8,8.67,"121,280,500"
49,01-Jan-16,9.44,9.59,8.22,9.5,8.3,"138,319,800"
50,01-Dec-15,10.02,10.09,8.76,9.57,8.36,"124,372,100"
51,31-Oct-15,10.98,11.09,9.45,9.99,8.73,"116,818,100"
53,30-Sep-15,9.86,11.21,9.72,10.95,9.48,"136,077,500"
54,31-Aug-15,11.78,11.8,9.42,9.79,8.48,"148,974,700"
55,31-Jul-15,12.82,13.21,11.15,12,10.39,"122,284,500"
57,30-Jun-15,13.3,13.4,12.66,12.8,11,"116,593,100"
58,31-May-15,13.59,14.02,12.9,13.26,11.39,"122,465,100"
60,30-Apr-15,13.24,13.84,13.05,13.6,11.6,"156,488,700"
61,31-Mar-15,12.86,13.67,12.64,13.25,11.3,"103,745,000"
62,01-Mar-15,12.91,13.02,11.83,12.85,10.96,"137,865,400"
63,01-Feb-15,12.24,13.01,11.53,12.97,11.06,"133,819,500"
65,01-Jan-15,13.86,13.87,12.17,12.22,10.34,"118,931,400"
66,01-Dec-14,13.8,14.49,12.78,13.77,11.65,"132,381,400"
67,31-Oct-14,14.15,14.25,13.01,13.87,11.73,"123,102,900"
69,30-Sep-14,14.19,14.45,12.38,14.07,11.86,"125,977,700"
70,31-Aug-14,15.17,15.21,14.05,14.18,11.95,"74,229,400"
71,31-Jul-14,14.52,15.21,14.01,15.18,12.79,"71,515,200"
73,30-Jun-14,15.57,15.64,14.58,14.61,12.27,"90,038,300"
74,31-May-14,14.09,15.65,13.96,15.55,13.06,"129,681,600"
75,30-Apr-14,14.46,14.77,13.42,14.1,11.84,"107,821,400"
77,31-Mar-14,14.33,14.64,14.01,14.45,12.09,"104,476,400"
78,01-Mar-14,13.58,14.44,13.53,14.28,11.95,"102,973,600"
79,01-Feb-14,14.06,14.94,13.57,13.65,11.42,"103,676,800"
81,01-Jan-14,14.51,14.8,13.42,14.06,11.72,"120,461,400"
